text,intent
What skills am I missing?,SKILL_GAP
Which skills do I lack?,SKILL_GAP
What skills should I add?,SKILL_GAP
Missing skills in my resume?,SKILL_GAP

What should I learn next?,LEARNING_PATH
What technologies should I learn?,LEARNING_PATH
Suggest courses to improve my skills,LEARNING_PATH
What to study for software jobs?,LEARNING_PATH

Am I suitable for MERN developer?,JOB_FIT
Can I apply for full stack developer?,JOB_FIT
Is my resume good for backend role?,JOB_FIT
Which job role suits me?,JOB_FIT

How can I improve my resume?,RESUME_IMPROVE
What changes should I make to my resume?,RESUME_IMPROVE
How to enhance my resume?,RESUME_IMPROVE
Tips to improve resume quality?,RESUME_IMPROVE

Tell me about my resume strengths,GENERAL_QUERY
What are my strong skills?,GENERAL_QUERY
Summarize my resume,GENERAL_QUERY
Explain my resume profile,GENERAL_QUERY
